session,bars,bars_in_trade,trades_entered,gate_open_pct,session_pnl,sharpe_intra,beta,hl_median
2024-01-31,391,0,0,0.0,0.0,0.0,1.003284,20.0
2024-02-01,388,7,3,0.0284,-0.292,-3.3073,1.001277,2.49
2024-02-02,384,18,13,0.0964,-1.5314,-6.0442,1.000373,2.41
2024-02-05,383,11,6,0.0627,-0.8504,-3.8821,0.999669,2.77
2024-02-06,386,9,7,0.0466,-0.631,-3.704,0.999191,3.35
2024-02-07,378,0,0,0.037,-0.186,-3.5606,0.998861,2.4
2024-02-08,389,8,5,0.0617,-0.5995,-4.3544,0.998457,4.79
2024-02-09,382,0,0,0.0052,-0.0109,-1.5681,0.998632,20.0
2024-02-12,388,5,3,0.0232,-0.1933,-2.7182,0.998903,2.36
2024-02-13,387,0,0,0.0,0.0,0.0,0.997831,20.0
2024-02-14,385,0,0,0.0,0.0,0.0,0.999156,20.0
2024-02-15,374,4,4,0.0348,-0.3331,-2.6541,1.000867,2.33
2024-02-16,388,3,3,0.0361,-0.4367,-3.3376,1.001598,2.3
2024-02-20,383,2,2,0.0052,-0.0957,-1.995,1.00195,20.0
2024-02-21,373,0,0,0.0027,-0.003,-1.4444,1.001798,2.97
2024-02-22,390,2,2,0.041,-0.4624,-3.6484,1.001657,2.42
2024-02-23,387,2,1,0.0181,-0.134,-2.2794,1.001828,4.01
2024-02-26,380,3,2,0.0105,-0.108,-2.0505,1.001834,2.32
2024-02-27,374,1,1,0.0321,-0.2096,-3.8382,1.001851,5.51
2024-02-28,369,1,1,0.0298,-0.2415,-3.3885,1.001533,4.61
2024-02-29,379,1,1,0.0211,-0.1464,-2.8188,1.001094,3.03
2024-03-01,388,0,0,0.0103,-0.1165,-2.575,1.000297,2.87
2024-03-04,390,2,2,0.0051,-0.1103,-1.8801,0.998813,4.92
2024-03-05,385,3,2,0.0156,-0.216,-2.3546,0.998994,4.57
2024-03-06,388,27,16,0.1314,-1.7487,-6.0469,0.998647,4.22
2024-03-07,383,8,6,0.0601,-0.6853,-4.2857,0.99861,2.25
2024-03-08,391,2,2,0.0691,-0.3615,-4.2553,0.99871,2.04
2024-03-11,388,1,1,0.0026,-0.0269,-1.4161,0.998848,3.54
2024-03-12,389,6,4,0.0566,-0.5811,-3.8713,0.998962,2.63
2024-03-13,386,6,4,0.0311,-0.4661,-2.8196,0.99917,2.11
2024-03-14,390,5,4,0.041,-0.4877,-3.8128,0.999311,2.13
2024-03-15,382,4,3,0.0366,-0.3759,-3.471,0.999342,8.37
2024-03-18,379,2,2,0.0686,-0.4249,-4.5582,0.999398,8.66
2024-03-19,378,0,0,0.0079,-0.0798,-1.6614,0.999523,2.48
2024-03-20,378,7,5,0.0265,-0.3701,-2.8692,0.99945,5.56
2024-03-21,384,7,6,0.0286,-0.8904,-3.5534,0.999377,2.49
2024-03-22,386,1,1,0.0544,-0.4156,-3.3424,0.999329,2.02
2024-03-25,389,7,3,0.054,-0.3278,-4.0276,0.999416,4.52
2024-03-26,382,0,0,0.0052,-0.0436,-1.5108,0.999058,3.49
2024-03-27,381,7,6,0.0341,-0.4913,-3.873,0.998746,2.45
2024-03-28,382,4,3,0.0236,-0.3016,-2.7403,0.998132,2.13
2024-04-01,390,7,3,0.0282,-0.3293,-3.4351,0.997721,3.34
2024-04-02,390,5,3,0.0359,-0.2733,-3.3247,0.997461,2.28
2024-04-03,391,2,1,0.023,-0.1652,-2.9402,0.998205,2.26
